[2025-03-15T07:43:53.445Z] GET /redirect?code=FKyYED - UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 - IP: ::1
[2025-03-15T08:26:26.235Z] POST /shorten - UserAgent: PostmanRuntime/7.39.1 - IP: ::1
[2025-03-15T08:26:51.504Z] GET /redirect?code=FY5YDU - UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 - IP: ::1
[2025-03-15T08:28:18.812Z] GET /health - UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 - IP: ::1
[2025-03-15T13:15:49.955Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:15:50.755Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:15:51.167Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:15:51.607Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:15:52.304Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:15:52.494Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:15:52.884Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:15:53.295Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:15:53.745Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:15:54.804Z] GET /redirect?code=yoDhDo - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:15:55.982Z] GET /redirect?code=yoDhDo&pass=123456 - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:15:56.542Z] GET /redirect?code=yoDhDo&pass=12345 - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:15:56.951Z] GET /redirect?code=yoDhDo - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:15:57.346Z] GET /redirect - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:15:57.523Z] GET /redirect?code=yoDhDo - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:16:24.008Z] GET /health - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:16:24.421Z] GET /health - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:25:12.674Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:25:13.323Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:25:13.700Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:25:14.140Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:25:14.653Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:25:14.756Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:25:15.031Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:25:15.370Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:25:15.697Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:25:16.472Z] GET /redirect?code=yoDhDo - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:25:17.389Z] GET /redirect?code=yoDhDo&pass=123456 - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:25:17.940Z] GET /redirect?code=yoDhDo&pass=12345 - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:25:18.769Z] GET /redirect?code=yoDhDo - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:25:19.027Z] GET /redirect - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:25:19.129Z] GET /redirect?code=yoDhDo - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:25:31.482Z] GET /health - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:25:31.894Z] GET /health - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:28:58.485Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:28:58.975Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:28:59.592Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:29:00.191Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:29:01.065Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:29:01.278Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:29:01.709Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:29:02.051Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:29:02.437Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:29:03.059Z] GET /redirect?code=yoDhDo - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:29:03.939Z] GET /redirect?code=yoDhDo&pass=123456 - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:29:04.417Z] GET /redirect?code=yoDhDo&pass=12345 - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:29:04.947Z] GET /redirect?code=yoDhDo - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:29:05.327Z] GET /redirect - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:29:05.433Z] GET /redirect?code=yoDhDo - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:29:17.257Z] GET /health - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:29:17.761Z] GET /health - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:34:20.888Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:34:21.441Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:34:21.818Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:34:22.152Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:34:22.892Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:34:23.002Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:34:23.302Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:34:23.608Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:34:23.921Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:34:24.533Z] GET /redirect?code=yoDhDo - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:34:25.632Z] GET /redirect?code=yoDhDo&pass=123456 - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:34:26.377Z] GET /redirect?code=yoDhDo&pass=12345 - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:34:26.749Z] GET /redirect?code=yoDhDo - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:34:26.997Z] GET /redirect - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:34:27.161Z] GET /redirect?code=yoDhDo - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:34:39.889Z] GET /health - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T13:34:40.395Z] GET /health - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T16:49:13.745Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T16:49:14.202Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T16:49:14.502Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T16:49:14.750Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T16:49:15.388Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T16:49:15.472Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T16:49:15.635Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T16:49:15.801Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T16:49:15.964Z] POST /shorten - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T16:49:16.696Z] GET /redirect?code=yoDhDo - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T16:49:17.280Z] GET /redirect?code=yoDhDo&pass=123456 - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T16:49:17.611Z] GET /redirect?code=yoDhDo&pass=12345 - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T16:49:17.855Z] GET /redirect?code=yoDhDo - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T16:49:18.018Z] GET /redirect - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T16:49:18.100Z] GET /redirect?code=yoDhDo - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T16:49:26.400Z] GET /health - UserAgent: undefined - IP: ::ffff:127.0.0.1
[2025-03-15T16:49:26.682Z] GET /health - UserAgent: undefined - IP: ::ffff:127.0.0.1
